nation_pk,club_pk,name,pk
006,"0077,0135,0313,1070,1314,1376,1558",황선홍,225241684
006,"0521,1558",전진우,225242004
006,"0135,0222,0521,1351",이근호,225242101
061,"0088,0222,0310,0660",아길라르,225242737
006,"0465,0654",김승섭,225242821
006,"0135,0313,1230,1444",하석주,225242878
006,"0135,0313,1730",고정운,225242881
006,"0112,0313,1018,1376,1558",김도근,225242885
006,"0949,1230,1260,1600",최영일,225242886
006,"1558,1600",신홍기,225242887
006,"0222,1482,1730",이상윤,225242888
006,"0310,0949",이상헌,225242889
006,"0222,1230",이임생,225242890
006,"0193,0738,0968,1445,1495,1558,1676,1723",박형진,225242925
006,"0705,0711,0746,1141,1142,1232,1445,1750,1876",박정수,225242926
006,"1230,1250,1600",이동준,225243061
006,"0310,0521,1018",김준범,225243173
006,"0465,0654,1750",이현식,225243175
006,"0252,0310",김정호,225243626
006,"0465,0654,1725,1730",박수일,225243824
028,"0135,0663,0949,1641,1682,1753,1999",팔로세비치,225244582
008,"0121,0381,0385,0538,0746,0841,1016,1214,1653,1721,1807,2032",펠리페,225244723
006,"1230,1351,1573",김문환,225244800
006,"0746,0916,1730",이시영,225244837
006,"0056,0532,1600,1679",이동경,225245054
031,"0131,0152,0159,0310,0361,0607,1057,1904,1992,2036",란레 케힌데,225245380
006,"0521,1600,1750",김지현,225245400
006,"0252,0521,1730",최병찬,225245982
006,"0916,1750",조재완,225245983
006,"0746,1600",엄원상,225246937
098,"0465,0654,0949,1313",알리바예프,225247270
098,"0746,1750,1987",아슐마토프,225247468
006,"0222,0465,0654",이지솔,225247689
006,"0056,0324,0391,0521,0997,1730",임승겸,225247714
006,1730,이재원,225247844
006,"0135,1351",송민규,225248188
006,"0135,1351",이수빈,225248487
006,0222,송선호,225250548
006,"0465,0521,0654",김태완,225250559
006,"0521,0949",김주성,225251162
006,"0222,0521",서진수,225251580
006,"0521,0746,1750",최준혁,225252189
006,"0222,0746",김주공,225252278
006,"0135,0222,0819,0835,1351",전경준,225252433
006,"0135,0521,1230",조광래,225254318
010,"0211,1047,1169,1738",크리스티아누 호날두,230020801
003,"0672,1066,1406,1701,1738",제레미 마티외,230112316
005,"0046,0237,0274,0414,0557,1906",알레한드로 고메스,230143076
004,"0656,0907,1455,1691,1976,1990",산티 카소를라,230146562
005,"0976,1394,1701,1850,1893",세르히오 아구에로,230153079
004,"1047,1510,1906",세르히오 라모스,230155862
005,"1510,1701",리오넬 메시,230158023
050,"0290,1021,1089,1189,1501,1707",사미르 한다노비치,230162835
003,"0120,0485,1328,1500",스테브 망당다,230163705
008,"0051,0826,1309,1403,1510,1529,1662",티아구 실바,230164240
003,"1047,2024",카림 벤제마,230165153
004,"0492,0526,1309,1520,1691,1692,1934",마르카노,230173521
029,"0184,1587,1701,1703,1893,2064",루이스 수아레스,230176580
003,"0214,0610,1328,1549,1844",디미트리 파예트,230177388
023,"0573,0891,1073,1438",얀 조머,230177683
014,"0012,0290,1391,1692,1714",라자 나잉골란,230178518
002,"1304,1732",마츠 후멜스,230178603
002,"1304,1732",마츠 후멜스,241178603
002,"1304,1732",마츠 후멜스,230178603
002,"1304,1732",마츠 후멜스,241178603
035,"0051,0063,0433,0501,1181,1252,1476,2005",아델 타랍,230179605
002,"0370,1047,1304",토니 크로스,230182521
004,"0561,0836,1042,1129,1272,1390,1510,1645,2005",유리 베르치체,230183512
001,"0184,1973,2080",조던 헨더슨,230183711
005,"0211,1047,1169,1474,1476,1510",앙헬 디마리아,230183898
010,"0190,0200,0519,0681,1058,1867,1886,2015",파비우 파셰쿠,230184606
011,"0656,1169,1692,2004",보이치에흐 슈체스니,230186153
002,"0579,1073,1732",마르코 로이스,230188350
011,"0580,0714,1304,1701,1732",R. 레반도프스키,230188545
077,"0051,0214,0497,0656,0808,1529,1701,1732,1844",P. 오바메양,230188567
008,"0184,0290,0763,1304,1585,1701,1965",쿠티뉴,230189242
004,"0063,0433,0492,0672,1047,1274,1691",파레호,230189513
002,"0101,1304",토마스 뮐러,230189596
001,"0211,1181,1525,1692",크리스 스몰링,230189881
003,"0214,1109,1500",뱅자맹 앙드레,230190674
009,"0211,1587,2064",데일리 블린트,230190815
008,"0865,1510,1701",네이마르 Jr.,230190871
046,"0271,0337,0370,0372,1851",루카시 흐라데키,230190941
007,"0482,0501,0539,1169,1189,1377,1732,1788,1906",치로 임모빌레,230192387
002,"1073,1701",M. 테어슈테겐,230192448
014,"0211,0290,0771,1281,1285,1529",로멜루 루카쿠,230192505
037,"0460,1375,1520,1692,1853",코스타스 마놀라스,230192774
014,"0976,1030,1529,1850,1924,2025",케빈 더브라위너,230192985
026,"0556,1169,1219,1501,1529,1723",후안 콰드라도,230193082
041,"0164,0462,1309,1906",헤수스 코로나,230193165
041,"0164,0462,1309,1906",헤수스 코로나,237193165
041,"0164,0462,1309,1906",헤수스 코로나,230193165
041,"0164,0462,1309,1906",헤수스 코로나,237193165
027,"0214,0763,0771,1510",이드리사 게예,230193474
003,"0327,1129,1701,1893",앙투안 그리즈만,230194765
010,"0054,0190,0231,0498,0613,0840,1476,1585,1871,1893",피지,230197965
009,"0290,1189,1631",스테판 더브레이,230198176
007,"0460,0513,1077,1377,1412",로렌초 인시녜,230198219
018,"0334,1451,1874,1955,1995",프레드리크 미트셰,230198658
004,"0184,0231,0907,1189,1477,1906",루이스 알베르토,230198706
008,"0212,0251,0262,0369,0559,0777,0865,1391,1722,1886",주앙 페드루,230199254
004,"0231,0605,0610,0656,0897,1626,1636,1751,1754,1759,1814",루카스 페레스,230199354
009,"0703,0946,1009,1124,1288,1495,1587,1631,1639",브라이언 린센,230199386
028,"0164,1222,1587,1682,2064",두샨 타디치,230199434
003,"0707,0808,1406,1906",위삼 벤예데르,230199451
007,"1377,1510",마르코 베라티,230199556
007,"0051,0155,0290,0501,0994,1189,1478,1879",F. 아체르비,230199845
006,"0370,0577,2005",손흥민,230200104
009,"1254,1587,1874,1924",마르코 비조트,230200110
009,"0164,0946,0990,1495,1631,1874,2064",스테번 베르하위스,230200260
050,"0203,0347,0691,1193,1476,1893,2063",얀 오블라크,230200389
050,"0274,0473,0699,0993,1219,1722",요시프 일리치치,230200647
005,"0811,0865,1309,1349,1669,2057",아구스틴 마르체신,230201095
003,"0211,1047,1252",라파엘 바란,230201535
022,"0337,1017,1073,2026",마르틴 힌테레거,230201922
009,"0211,0779,1701,2024",멤피스 데파이,230202556
001,"0211,0435,1317,1364,2033",해리 매과이어,230203263
009,"0184,1222,1587,1809",버질 반데이크,230203376
003,"0676,0737,0783,1252,1520",케니 랄라,230204105
043,"0485,0976,1850,2033",리야드 마레즈,230204485
041,"0061,1476,1893,2057",라울 히메네스,230204838
022,"0821,0863,0940,1017,1304",마르셀 자비처,230204923
004,"0370,1047,1274",카르바할,230204963
005,"0051,0501,0741,0808,1328,1906,2064",루카스 오캄포스,230205632
003,"0227,0774,1499",테지 사바니에,230205686
002,"0656,1285,1304,1713,2025",세르주 그나브리,230206113
035,"0497,0774,0783,1607",유니스 압델하미드,230206493
025,"0290,1047,1239,1529",마테오 코바치치,230207410
025,"0290,1047,1239,1529",마테오 코바치치,241207410
025,"0290,1047,1239,1529",마테오 코바치치,230207410
025,"0290,1047,1239,1529",마테오 코바치치,241207410
002,"0795,1073,1732",마티아스 긴터,230207862
008,"0070,1510,1692",마르키뉴스,230207865
004,"1540,1585,1691",제라르 모레노,230208093
008,"0383,0469,0859,1169,1198,1377,1476,1912",가브리엘,230208141
004,"1529,1626,1893",사울,230208421
028,"0337,0577,1169,1436,1587,1651",필리프 코스티치,230208574
035,"0164,0590,1529,2064",하킴 지예시,230208670
027,"0184,0225,1017,1222,1304",사디오 마네,230208722
009,"0164,0926,1491,1906,2064",퀸시 프로머스,230208808
001,"0785,1764,1892,2033",제이미 바디,230208830
012,"0374,0410,0921,1662",세바스티안 홀멘,230209063
072,"0184,0378,0573,1219,1529,1692",모하메드 살라,230209331
008,"0262,0799,1309,1886",오타비우,230210411
007,"0994,1169",도메니코 베라르디,230210935
005,"0888,1169,1692,1722",파울로 디발라,230211110
005,"0980,1366,1394,2024,2064",N. 탈리아피코,230211256
002,"0108,0168,0795,1064,1131,1920,2026",F. 니더레흐너,230211899
037,"1476,1651,2029",O. 블라호디모스,230211990
002,"0821,1529,1651",티모 베르너,230212188
008,"0211,0290,0868,1309,1403,1906,1955",알렉스 텔리스,230212462
002,"0821,1304,1651",요주아 키미히,230212622
008,"0184,0799,1692",알리송,230212831
010,"0054,0681,0907,1886",히카르두 오르타,230213516
004,"0061,0472,0763,1477,1701",아다마 트라오레,230213956
021,"0184,1084,1133,1364",앤드루 로버트슨,230216267
010,"0054,0148,0601,1282,1738",파울리뉴,230216531
010,"0054,1409,1476",하파,230216547
003,"0021,1386,2024",나빌 페키르,230216594
010,"0054,0188,0996,1588,1641",세케이라,230217546
043,"0043,0212,0808,1254,1738,1765,2024,2033",이슬람 슬리마니,230217699
008,"0139,0403,0558,0559,0763,1309,1495,1549,1906",D. 카를루스,230219693
003,"0598,0990,1501,1557,1607,1812",아산 카마라,230220421
009,"0211,0771,2064",도니 반더베이크,230221363
014,"0638,0703,1040,1495,1631,1743,1820,1924,2069",시릴 데서스,230222262
018,"0590,0656,1047,1124,1129,1274,1509",마르틴 외데고르,230222665
002,"0274,0290,0703,1124,1358",로빈 고젠스,230223697
028,"1189,1682,1924",S. 밀린코비치-사비치,230223848
005,"0813,1001,1738,1906",마르코스 아쿠냐,230224334
010,"0054,0190,0348,0495,0575,1309,1834,1871",파비우 마르팅스,230224394
038,"0290,0447,2064",앙드레 오나나,230226753
031,"1924,2033",윌프레드 은디디,230226790
007,"0994,1692",로렌초 펠레그리니,230228251
005,"0237,1216,1498,1747",에세키엘 아빌라,230228520
009,"0374,1701,2064",프렝키 더용,230228702
035,"1587,1631,1754,1874,1906,2064",우사마 이드리시,230228747
010,"0054,0200,0550,1181,1738",팔리냐,230229391
003,"0821,1017,1304",다요 우파메카노,230229558
001,"0120,0211",에런 완-비사카,230229880
002,"0168,0532,1250",수아트 제르다르,230230065
010,"0214,1304,1476,1510,1632",헤나투 산시스,230230767
005,"0290,0813",라우타로 마르티네스,230231478
001,0211,마커스 래시포드,230231677
003,"0808,1510",킬리안 음바페,230231747
008,"0340,0771,0826,0990,2005,2057",히샤를리송,230231943
019,"0138,0445,0754,0795,2033",차을라르 쇠윈쥐,230232119
031,"0213,0214,0460,1030",빅터 오시멘,230232293
003,"0821,1510",C. 은쿤쿠,230232411
008,"0214,0656,1114,1239,1767",가브리엘,230232580
003,"0051,1047,1129,1636,1893",테오 에르난데스,230232656
001,"0211,1732",제이든 산초,230233049
009,"0290,0590,0639,0779",덴젤 둠프리스,230233096
001,"0211,1115,1317,1370,1472,1839,1945",딘 헨더슨,230233306
042,"0057,1304",알폰소 데이비스,230234396
003,2024,우셈 아우아르,230234906
035,"0290,1047,1510,1732",아슈라프 하키미,230235212
002,"0370,1529",카이 하베르츠,230235790
005,"0237,0753,1631",마르코스 세네시,230236506
009,"1874,2064",오언 베인달,230236572
009,"0012,1812,1874",캘빈 스텡스,230236593
031,"0182,0257,0590,1250,1603",치데라 에주케,230238050
018,"0059,0709,0976,1017,1732,1850",엘링 홀란,230239085
005,"0211,0373,1971,2064",L. 마르티네스,230239301
010,"0976,1476,1850",후벵 디아스,230239818
009,"0808,1874",마이론 보아두,230239956
009,"0274,1874",퇸 코프메이너르스,230240679
043,"0316,1266,1812",유세프 아탈,230240754
026,"0184,1309,1393",루이스 디아스,230241084
028,"0159,0981,1540,1607",P. 라이코비치,230241727
073,"0480,0691,0806,0831,1309,1566",메흐디 타레미,230241788
008,"0092,0460,0779,0808,0868,1181,1315,1476,1760,1951,2005",비니시우스,230244621
010,"0054,0061,1701,1738",트린캉,230244778
004,"0604,1047,1274,1893,1906,2005",레길론,230245279
009,"0779,0918,1169,2064",모하메드 이하타렌,230246960
007,"0357,1169,1510",잔루이지 부폰,231001179
009,"0771,0808,1181,1222,1692,2064",M. 스테켈렌뷔르흐,231002147
004,"0051,0184,0460,0763,1189,1304,1691,1701",페페 레이나,231024630
012,"0051,0211,0290,0692,1092,1169,1510,1701,2064",Z. 이브라히모비치,231041236
004,"0672,0907,1219,1386,1917",호아킨,231045186
005,"0051,0144,0231,0237,1208,1636,1691,1765,1893",F. 콜로치니,231048745
001,"0063,0468,0610,0753,1077,2005,2080",저메인 데포,231050542
001,"0211,0549,0771,0952",웨인 루니,231054050
007,"0017,0274,0969,1169,1391",시모네 파도인,231102056
011,"0753,1219,1222,1302,1809,2075",아르투르 보루츠,231105846
010,"0123,1047,1058,1309",페페,231120533
008,"0183,0976,1215,1850",페르난지뉴,231135507
006,"0135,0472,0521,1351,1730,2025",이동국,231136553
010,"0063,0212,0262,0348,0357,0645,0729,0798,1309,1375,1391,1886",브루누 알베스,231138110
001,"0184,0763,0842,0976,1527,1765,1850",제임스 밀너,231138412
007,"0859,1169,1219,1573",조르조 키엘리니,231138956
005,"0557,0897,0907,0976,1208,1222,1529,1850",윌리 카바예로,231139062
010,"0064,0211,0212,0672,0985,1189,1738,1913",나니,231139068
005,"0480,0813,1245,1309,1524,2024",리산드로 로페스,231142707
005,"0070,0184,0610,0662,0741,0894,1701",하비에르 마스체라노,231142754
005,"0070,0211,0595,0610,0976,1169,1208,1850",카를로스 테베스,231143001
019,"0498,0881,1701,1893,1955",아르다 투란,231143745
004,"0976,1850,1906",헤수스 나바스,231146536
004,"0051,0133,0319,0600,1047,1274,1585,1626,1691,1906",디에고 로페스,231146748
004,"0212,0255,0492,0672,0974,1047,1498,1691,2005",솔다도,231146758
009,"0051,0532,0590,0621,0779,0780,1047,2064",클라샨 훈텔라르,231148803
007,"0017,0460,0918,1089,1219,1723,1985",크리스티안 마조,231149184
002,"0045,0290,0656,0804,1116,1304,1444,1955",루카스 포돌스키,231150516
001,"0001,0482,0610,0908,0976,1025,1370,1809,1850,1931,1945,2005",조 하트,231150724
001,"0211,0290,0763,0990",애슐리 영,231152908
005,"0134,0215,0290,0501,1208,1366,1492",로드리고 팔라시오,231152999
003,"0140,0363,1231,1328,1406,1482",A. 지냐크,231153244
006,"0120,0674,0689,0949,1600",이청용,231155355
003,"0225,1219,1254,1292,1304,1328,1728,1818,1955",프랑크 리베리,231156616
009,"0123,0184,0231,0301,1181,1713,1791,1955,2061,2064",라이언 바벨,231157301
004,"0460,0492,0672,1047,1691",라울 알비올,231157481
015,"0022,0050,0484,1456,1809",정즈,231158293
008,"0213,0214,0782,1030,1073,1304,1403,1812",단테,231158625
003,"0214,0656,0783,1702,1765,1844",마티외 드뷔시,231158626
003,"1044,1114,1328,1632,1844,1955,2024",바페팀비 고미스,231159145
007,"0460,0482,0626,0918,0969,1169,1219,1501",파비오 콸리아렐라,231159261
004,"0798,0851,0976,1047,1274,1386,1476,1498,1850",하비 가르시아,231161754
004,"0460,0836,1169,1176,1390,1501,1632,1906,2005",요렌테,231162131
014,"0374,0432,1181,1454,1874,2005",무사 뎀벨레,231162240
004,"0656,0808,1147,1529,1701",세스크 파브레가스,231162895
001,"0211,0536,0990,1013,1031,1285,1931,1968",벤 포스터,231163155
007,"0050,0106,0134,0274,0512,0610,0859,0990,1219,1261,1492,1722,1746,1922,2039",A. 디아만티,231163925
007,"0046,0357,0918,1222,1456,1620,1631,1723,1874,1944",그라치아노 펠레,231164376
001,"0001,0120,0689,0753,0763,1317,1529",게리 케이힐,231164468
031,"0472,1031,1294,1529,1670,2019",존 오비 미켈,231164477
021,"0001,0061,0291,1031,1032,1084,1328,2080",스티븐 플레처,231164769
011,"0610,0656,0714,1302,1632",우카시 파비안스키,231164835
001,"0656,0771,1222",시오 월콧,231164859
038,"0063,0433,0595,0662,1328,1406,1421,1500,1843,1906,2019",스테판 음비아,231164959
011,"1030,1219,1371,1732,1859",J. 브와슈치코프스키,231164994
003,"0656,1363,1482,1702,1894",로랑 코시엘니,231165229
005,"0672,1047,1208,1692,2076",페르난도 가고,231165517
026,"0211,0741,0808,1309,1529,1626,1893,1955",팔카오,231167397
002,"0532,1304",마누엘 노이어,231167495
005,"0051,0460,0741,1047,1169,1229,1529",곤살로 이과인,231167664
007,"0460,0482,0501,0649,1498,1510,1722,1820,1906",살바토레 시리구,231168435
004,"0672,0976,1129,1390,1669,1850",다비드 실바,231168542
008,"0091,0139,0290,1066,1624,1893",미란다,231168609
025,"0532,0573,1701,1906",이반 라키티치,231168651
041,"0656,0716,1108,1129,1253,1285,1498,1573,1669",카를로스 벨라,231169416
001,"0012,0120,0211,0398,0434,1364,2005,2080",프레이저 캠벨,231169586
001,"0285,0990,1013,1765,2005,2080",대니 로즈,231169595
001,"0012,0211,1031,1229",라이언 쇼크로스,231169596
030,"0001,0061,0120,0338,1013,1115,1472",웨인 헤네시,231170084
041,"0072,0526,1092,1540,1691,1701,1955,2005,2057",조바니 도스산토스,231170369
034,"0214,0357,0656,0662,0923,0987,1048,1692,2019",제르비뉴,231170733
004,"0359,0672,0990,1042,1219,1540,1626,1669,1893",마리오 수아레스,231171018
004,"0836,1498,1893",라울 가르시아,231171579
010,"0018,0120,0190,0214,0346,0610,0681,0781,1222,1246,1476,1495,1738,1886",주제 폰테,231171791
048,"0018,0134,0236,0460,2019",마레크 함시크,231171877
014,"1134,1281,1476,2005,2064",얀 베르통언,231172871
037,"0051,0501,0656,1375,1520,1732,1977,2025",소크라티스,231172879
031,"0120,0184,0212,0290,0435,0610,0926,1031,1529",빅터 모지스,231172962
007,"0290,0357,0859,0918,0988,1169,1189,1292,1501,1944",안토니오 칸드레바,231173221
005,"0211,0808,0813,0918,1208,1874,1913",세르히오 로메로,231173373
014,"0009,0184,0245,1495,2080",시몽 미뇰레,231173426
030,"1047,1222,1573,2005",가레스 베일,231173731
011,"1099,1250,1495,1732,1896",우카시 피슈체크,231173771
032,"0051,0123,0337,0468,0470,0478,0501,0532,0882,0994,1096,1219,1250,1701,1732,2005",케빈-프린스 보아텡,231173909
014,"0146,0460,0621,0779,0839,1743,1955",드리스 메르턴스,231175943
008,"0184,0868,1189",루카스 레이바,231176266
026,"0115,0460,0656,1812,1900",다비드 오스피나,231176550
032,"0212,0610,0774,1328,1482,1632,1976",안드레 아이유,231176571
003,"0672,0737,1482,1510,1893,1906",케빈 가메이로,231176600
002,"0212,0498,0532,0656,1047,2025",메수트 외질,231176635
008,"0826,1047,1520",마르셀루,231176676
014,"0211,0771,0782,1456",마루안 펠라이니,231176944
004,"0051,0168,1031,1444,1477,1484,1636,1692,1701,2064",보얀,231176993
025,"0228,0290,1047,1239,1756,2005",루카 모드리치,231177003
027,"0047,0123,0216,0498,0595,0610,1195,1529,1541,1713,1765",뎀바 바,231177134
003,"0212,1328,1502,1520,1623,1662,1702,2024",마티외 발부에나,231177326
003,"0211,0737,0771,1222,1812",모르강 슈네델랑,231177358
053,"0012,0029,0456,0782,0808,1030,1233,1281,1364,1751",D. 음보카니,231177392
004,"0656,0907,1129,1498",나초 몬레알,231177604
004,"0093,0143,0836,1304,1498",하비 마르티네스,231177610
004,"0211,0672,1274,1529",후안 마타,231178088
041,"0211,0370,0610,1047,1092,1108,1253,1906",치차리토,231178224
003,"0051,0656,1036,1280,1363,1499,1529",올리비에 지루,231178509
017,"0051,0212,0214,0274,1030,1692,1722,1906,2088",시몬 키에르,231179645
005,"0144,0184,0813,1092,1208,1626,1651,1738,1893,1955",에밀리아노 인수아,231179696
004,"0054,0061,0369,0675,1012,1042,1529,1626,1669,1893",디에고 코스타,231179844
002,"1047,1169,1250,1651,1901",사미 케디라,231179846
005,"0970,1001,1292,1692,1906,2005",페데리코 파시오,231179847
008,"0656,1476,1510,1529,1824,1886",다비드 루이스,231179944
045,"0123,0225,1169,1692,1701,2024",미랄렘 피아니치,231180206
016,"0771,0908,1664",셰이머스 콜먼,231180216
067,"0157,0192,0287,0310,0663,0949,0954,1401,1418,1558,1613,1624,1660,2038",데얀,231180287
008,"0070,0183,0656,1072,1181,1529",윌리안,231180403
001,"0184,0753,1222,1450",애덤 랄라나,231180819
045,"0290,0653,0976,1030,1497,1692,1850,1909",에딘 제코,231180930
040,"0337,0955,1009,1030",하세베 마코토,231181098
067,"0290,0808,0976,1188,1219,1250,1850,1906",스테반 요베티치,231181820
049,"0290,0370,0953,1169,1304,1701",아르투로 비달,231181872
007,"0276,0290,0501,0789,0882,0918,1364",안드레아 라노키아,231182168
003,"0132,0181,0528,0804,1301,1702,1713,1732,1812,1844",앙토니 모데스테,231182212
029,"0290,0300,0369,1391,1691,1703,1893,2076",디에고 고딘,231182493
001,"0184,0610,0764,1285,1765,1969",앤디 캐롤,231182836
003,"0120,0184,1499,1510",마마두 사코,231183285
001,"0763,0771,0842,0976,1850",페이비언 델프,231183427
002,"0212,0795,1030,1073,1083,1897,2025",막스 크루제,231183574
002,"0577,0976,1250,1304,1850,2024",제롬 보아텡,231183907
014,"0120,0184,0316,0763,0782,0952,1140,1924",크리스티앙 벤테케,231184111
005,"0018,0054,0190,0214,0267,0542,1208,1476,1893",니콜라스 가이탄,231184144
007,"0051,0211,0290,0357,0482,1722,1898",마테오 다르미안,231184392
051,"0167,0764,0771,1370,1632,1713,1945,2005",길피 시구르드손,231184484
064,"0168,0243,0532,0573,1274,1651,1713",아담 설러이,231184789
043,"0610,0658,0672,1036,1955",소피안 페굴리,231184881
049,"0211,0290,0656,0741,0953,1328,1501,1604,1701",알렉시스 산체스,231184941
028,"0290,0976,1189,1648,1692,1850,1999",A. 콜라로프,231185103
008,"0212,0283,1030,1304,1328,1713,1900",루이스 구스타부,231185221
019,"0045,0370,0795,1732,2025",외메르 토프라크,231185239
001,"0029,0656,1229,1285",키어런 깁스,231186115
001,"0211,0656,0990,1450,1969,2080",대니 웰벡,231186146
030,"0063,0434,0656,1169,1472,1812",아론 램지,231186561
007,"0051,0134,0184,0290,0882,0976,0989,1000,1328,1812,1850,1974",마리오 발로텔리,231186627
003,"1031,1301,1453,1500,1692,1717,1906,1955",스티븐 은존지,231187936
008,"0034,0050,0070,0288,0756,0760,1214,1701,2005,2038",파울리뉴,231187961
008,"0139,0799,1529,1733",오스카,231188152
092,"0432,0928,1137,1222,1484,1809,2005",빅터 완야마,231188942
040,"0123,0211,0245,0313,1241,1495,1732,1759",가가와 신지,231189358
008,"0063,0211,0433,0434,0472,1549",파비우,231189680
008,"0211,0383,0498,2024",하파엘,231189681
009,"0501,0639,0779,1328,1391,1692,1743",케빈 스트로트만,231189712
001,"0211,0435,0763,0771,0990,2033",톰 클레벌리,231189725
034,"0537,0904,0976,1031,1124,1378,1411,1632,1850,1989",윌프리드 보니,231189963
004,"0836,1636",데마르코스,231190149
003,"0672,0771,0782,0976,1309,1844,1850",엘리아킴 망갈라,231190531
003,"0672,0771,0782,0976,1309,1844,1850",엘리아킴 망갈라,237190531
003,"0672,0771,0782,0976,1309,1844,1850",엘리아킴 망갈라,231190531
003,"0672,0771,0782,0976,1309,1844,1850",엘리아킴 망갈라,237190531
028,"0123,0290,0482,1188,1219,1692",아뎀 랴이치,231190544
004,"1047,1129",이야라멘디,231190584
005,"0215,0897,1510,1692,1722,1960",하비에르 파스토레,231191180
028,"0025,0211,0708,1124,1476,1529,1692",네마냐 마티치,231191202
002,"0196,0532,1304,1651",홀거 바트슈투버,231192620
007,"0155,0460,0802,1051,1169,1478,1492,1944,2080",E. 자케리니,231192841
096,"0183,0211,0290,0422,0656,1692,1732,1889",헨릭 미키타리안,231192883
061,"0255,0675,1047,1120,1510",케일러 나바스,231193041
004,"0211,1893",데헤아,231193080
003,"0974,1692,1906,2024,2083",막심 고날롱,231193116
003,"0656,2024",알렉상드르 라카제트,231193301
023,"0184,0267,0290,0573,1031,1304,2024",제르단 샤키리,231193348
049,"0123,0290,0434,1208,1492,1885,1906",가리 메델,231193532
040,"0168,0204,0245,0907,1020,1216,1495,1651,2033",오카자키 신지,231194365
011,"0575,0759,1285,1375,1510,1549,1607,1702,1877,1906",G. 크리호비아크,231197242
026,"0368,0771,0808,1047,1304,1309,1366,1520,1717",하메스 로드리게스,231198710
004,"0307,0974,0976,1476,1477,1594,1669,1850,1906,2079",놀리토,231199561
009,"0672,1701,1989,2064",야스퍼르 실러선,231199987
014,"0058,0164,0498,0621,0808,1281,1285,2005",나세르 샤들리,231200529
005,"0211,0894,0926,1208,1738",마르코스 로호,231201862
026,"0009,0051,0254,0974,1393,1691,1906,2010",카를로스 바카,231207664
002,"0652,0804,1050",요나스 헥토어,231208334
034,"0190,0718,1181,1309,1364,1702,1812,1955,2071",장 미카엘 세리,231216451
001,"1222,1301,1765",앨런 시어러,233000051
005,"0290,1366,1838",하비에르 사네티,233001041
007,"0051,0728,1189,1484",알레산드로 네스타,233001088
003,"1047,1254,1328,1510,1529,1549,1669",클로드 마켈렐레,233001668
001,"0610,0976,1382,1529,1632,1850",프랭크 램파드,233005471
010,"0290,1047,1701,1738",루이스 피구,233005589
003,"0390,0741,0808,1067,1169,1392,1770,1971",다비드 트레제게,233005984
033,"0715,1002,1169,1189,1411",파벨 네드베드,233006235
005,"0211,0290,0357,0894,0918,1189,1208,1529",베론,233007518
040,"0328,0357,0689,1219,1492,1692,1922",나카타 히데토시,233013383
010,"0196,0214,0315,0519,0672,0851,0974,1030,1309,1759",히카르두 코스타,233020209
034,"0595,0987,1328,1484,1529,1894,1955,1982",디디에 드로그바,233031432
022,"0182,0532,0795,0984,1078,1213,1267,1605,1651,1901",미하엘 랑어,233107084
059,"1472,1968,2033",웨스 모건,233136113
001,"0184,0763,0842,0976,1527,1765,1850",제임스 밀너,233138412
022,"0168,0532,0674,1068,2033,2085",크리스티안 푹스,233139313
005,"0070,0211,0595,0610,0976,1169,1208,1850",카를로스 테베스,233143001
005,"0051,0123,0212,0414,0460,0894,1304,1893,2019",호세 소사,233143121
019,"0498,0881,1701,1893,1955",아르다 투란,233143745
011,"0714,0898,1149,1281,1290,1698,1859,2033",M. 바실레프스키,233148569
001,"0001,0482,0610,0908,0976,1025,1370,1809,1850,1931,1945,2005",조 하트,233150724
005,"0976,1394,1701,1850,1893",세르히오 아구에로,233153079
008,"0109,0181,0534,0973,1252,1328,1499",이우통,233153260
003,"0214,0656,0783,1702,1765,1844",마티외 드뷔시,233158626
002,"0196,1030,1083,1651",크리스티안 겐트너,233158856
010,"0061,0781,0808,1309,1495,1738",주앙 무티뉴,233162347
017,"0434,0842,0976,1687,1812,1850,1861,1869,1945,1973,2033",카스퍼 슈마이켈,233163587
003,"0120,0485,1328,1500",스테브 망당다,233163705
038,"0063,0433,0595,0662,1328,1406,1421,1500,1843,1906,2019",스테판 음비아,233164959
005,"0237,0557,0658,0850,1063,1223,1381,1450,1626,2033",레오나르도 우조아,233165788
026,"0211,0741,0808,1309,1529,1626,1893,1955",팔카오,233167397
004,"0672,0976,1129,1390,1669,1850",다비드 실바,233168542
008,"0091,0139,0290,1066,1624,1893",미란다,233168609
004,"0359,0672,0990,1042,1219,1540,1626,1669,1893",마리오 수아레스,233171018
004,"0836,1498,1893",라울 가르시아,233171579
004,"0231,0907,1309,1336,1498,1636,1691,1893",아드리안 로페스,233173818
014,"0012,0029,0211,0468,0472,0536,0611,0763,1031,1317,1969,2033",리치 더라트,233175932
002,"0123,0309,1651,1713",안드레아스 베크,233176687
003,"0212,1328,1502,1520,1623,1662,1702,2024",마티외 발부에나,233177326
035,"0009,0058,0212,0439,0554,0808,2061",나빌 디라르,233177525
003,"0051,0656,1036,1280,1363,1499,1529",올리비에 지루,233178509
005,"0144,0184,0813,1092,1208,1626,1651,1738,1893,1955",에밀리아노 인수아,233179696
004,"0054,0061,0369,0675,1012,1042,1529,1626,1669,1893",디에고 코스타,233179844
002,"1047,1169,1250,1651,1901",사미 케디라,233179846
